,,,,,Funnel step: Added to cart,Funnel step: Reached checkout page,Funnel step: purchase (also is considred conversion),
page_type,page_path,week,total_visitors,total_sessions,total_carts,total_checkouts,total_orders_placed,total_bounce_rate
Homepage,,2021-W52,10510,11010,276,131,89,58.74%
Collection,/collections/on-sale,2021-W52,2293,2493,165,108,67,55.88%
Checkout,/checkouts,2021-W52,59,73,2,34,14,47.95%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2021-W52,1607,1729,42,17,10,75.36%
Cart,/cart,2021-W52,161,215,24,15,12,59.53%
Product,/products/32extra-tall-42-round-metal-garden-bed,2021-W52,419,437,32,13,5,59.27%
Collection,/collections/all,2021-W52,537,570,19,11,7,54.21%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2021-W52,1613,1699,39,11,8,74.16%
Product,/products/9-in-1-modular-raised-garden-bed,2021-W52,374,431,19,10,3,70.07%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2021-W52,914,969,33,10,9,71.52%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2021-W52,958,1019,15,9,6,78.61%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2021-W52,279,303,14,7,5,60.73%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2021-W52,364,394,10,6,2,73.10%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2021-W52,960,987,27,5,1,79.23%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2021-W52,1091,1143,10,5,2,78.92%
Product,/products/worm-farm-worm-composter,2021-W52,314,322,7,4,1,75.16%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2021-W52,260,294,6,3,3,73.47%
Customer Account,/account/login,2021-W52,8,9,3,3,3,22.22%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2021-W52,986,1030,6,3,1,63.01%
Collection,/collections/best-sellers,2021-W52,33,39,2,2,1,69.23%
Product,/products/17-inch-tall-kids-first-raised-bed,2021-W52,56,58,2,2,2,63.79%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2021-W52,124,130,6,1,1,62.31%
Collection,/collections/vego-garden-17-standard-kits,2021-W52,86,98,2,1,1,68.37%
Custom Page,/pages/about-vego,2021-W52,34,34,1,1,1,41.18%
Customer Account,/account,2021-W52,3,3,1,1,1,0.00%
Product,/products/connecting-rod-bag,2021-W52,137,141,2,1,1,68.79%
Custom Page,/pages/why-we-are-the-best,2021-W52,15,17,2,1,1,23.53%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2021-W52,16,18,1,1,1,83.33%
Search,/search,2021-W52,9,9,1,1,1,66.67%
Custom Page,/pages/design-galleries,2021-W52,94,102,0,1,1,59.80%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2021-W52,286,301,2,1,1,76.74%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2021-W52,74,81,4,1,1,62.96%
